gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	T
LAG3	P18627	False	LAG3_HUMAN		CPI-SS0DDC6EF4D	0.045	0.006	0.0	0.0	0.12	0.003	0.059
C1QB	P02746	False	C1QB_HUMAN		CPI-SS043858F99	0.0	0.0	0.0	0.0	0.0	0.001	0.0
PSAP	P07602	False	PSAP_HUMAN		CPI-SS0E6842555	0.303	0.836	0.448	1.435	0.328	1.764	0.411
HSP90B1	P14625	False	HSP90B1_HUMAN		CPI-SS0CACF79C1	0.554	1.397	1.019	1.475	1.029	1.129	0.677
VCAN	P13611	False	VCAN_HUMAN		CPI-SS084FDDF43	0.145	0.708	0.0	2.662	0.04	2.911	0.09
CD14	P08571	False	CD14_HUMAN		CPI-SS056053483	0.08	0.072	0.0	0.575	0.031	0.754	0.0
HSP90B1	P14625	False	HSP90B1_HUMAN		CPI-SS09FA96171	0.554	1.397	1.019	1.475	1.029	1.129	0.677
IRAK4	Q9NWZ3	False	IRAK4_HUMAN		CPI-SS0621B2743	0.135	0.153	0.0	0.13	0.091	0.092	0.0
FARP2	O94887	False	FARP2_HUMAN		CPI-SS0119E6ECC	0.153	0.082	0.121	0.026	0.02	0.037	0.0
PLXNC1	O60486	False	PLXNC1_HUMAN		CPI-SS02B567BC7	0.073	0.117	0.0	0.175	0.066	0.191	0.0
ICOSLG	O75144	False	ICOSLG_HUMAN		CPI-SS0061538EC	0.0	0.0	0.0	0.01	0.005	0.006	0.0
ICOSLG	O75144	False	ICOSLG_HUMAN		CPI-SS0469D07EA	0.0	0.0	0.0	0.01	0.005	0.006	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS02BC55076	0.0	0.0	0.0	0.005	0.021	0.01	0.0
TNFRSF13B	O14836	False	TNFRSF13B_HUMAN		CPI-SS0AA47D179	0.431	0.0	0.0	0.0	0.0	0.0	0.0
IL10	P22301	False	IL10_HUMAN		CPI-SS0ECAA2324	0.0	0.0	0.0	0.007	0.004	0.007	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.345	0.0	0.0	0.0	0.0	0.001	0.085
PTPRS	Q13332	False	PTPRS_HUMAN		CPI-SS08AFCDA64	0.029	0.0	0.055	0.0	0.0	0.002	0.0
ROBO3	Q96MS0	False	ROBO3_HUMAN		CPI-SS0F2FBF1F6	0.028	0.063	0.0	0.016	0.097	0.033	0.0
PSPN	O60542	False	PSPN_HUMAN		CPI-SS0A90BA43B	0.0	0.0	0.118	0.0	0.004	0.003	0.0
CD14	P08571	False	CD14_HUMAN		CPI-SS0326BE09E	0.08	0.072	0.0	0.575	0.031	0.754	0.0
SEMA4A	Q9H3S1	False	SEMA4A_HUMAN		CPI-SS044C72D0D	0.077	0.238	0.0	0.214	0.02	0.179	0.0
SEMA3C	Q99985	False	SEMA3C_HUMAN		CPI-SS0E7B91F39	0.0	0.0	0.0	0.004	0.0	0.011	0.0
SELL	P14151	False	SELL_HUMAN		CPI-SS0EB5AEC83	0.066	0.604	0.12	0.891	0.494	0.705	0.217
SELL	P14151	False	SELL_HUMAN		CPI-SS0D8CC2248	0.066	0.604	0.12	0.891	0.494	0.705	0.217
F2R	P25116	False	F2R_HUMAN		CPI-SS096D49CD0	0.032	0.0	0.0	0.016	0.068	0.016	0.217
GZMB	P10144	False	GZMB_HUMAN		CPI-SS013B06D78	0.0	0.0	0.0	0.0	0.0	0.0	0.044
TLR2	O60603	False	TLR2_HUMAN		CPI-SS007504828	0.032	0.084	0.0	0.095	0.046	0.093	0.0
RET	P07949	False	RET_HUMAN		CPI-SS0AB196F4D	0.0	0.0	0.0	0.0	0.003	0.0	0.0
GFRA2	O00451	False	GFRA2_HUMAN		CPI-SS0CAAEEB71	0.0	0.039	0.0	0.0	0.0	0.001	0.0
RET	P07949	False	RET_HUMAN		CPI-SS09F42E353	0.0	0.0	0.0	0.0	0.003	0.0	0.0
TGFBR2	P37173	False	TGFBR2_HUMAN		CPI-SS0997B680C	0.293	0.23	0.231	0.124	0.099	0.156	0.158
PLXNA2	O75051	False	PLXNA2_HUMAN		CPI-SS062CA4722	0.0	0.0	0.0	0.007	0.0	0.013	0.0
PLXNA2	O75051	False	PLXNA2_HUMAN		CPI-SS0991832A3	0.0	0.0	0.0	0.007	0.0	0.013	0.0
SLC16A7	O60669	False	SLC16A7_HUMAN		CPI-SS0544B24DF	0.149	0.078	0.202	0.217	0.157	0.149	0.057
TNFSF10	P50591	False	TNFSF10_HUMAN		CPI-SS00E80BA8F	0.0	0.114	0.0	0.134	0.036	0.126	0.0
PSPN	O60542	False	PSPN_HUMAN		CPI-SS0A8C96DB2	0.0	0.0	0.118	0.0	0.004	0.003	0.0
GFRA2	O00451	False	GFRA2_HUMAN		CPI-SS091FFB132	0.0	0.039	0.0	0.0	0.0	0.001	0.0
ADORA2B	P29275	False	ADORA2B_HUMAN		CPI-SS079728E8B	0.0	0.01	0.0	0.007	0.002	0.006	0.0
ADORA2A	P29274	False	ADORA2A_HUMAN		CPI-SS03E273233	0.036	0.014	0.0	0.044	0.014	0.051	0.03
ADORA2B	P29275	False	ADORA2B_HUMAN		CPI-SS061F30C20	0.0	0.01	0.0	0.007	0.002	0.006	0.0
ADORA2A	P29274	False	ADORA2A_HUMAN		CPI-SS0B01D8766	0.036	0.014	0.0	0.044	0.014	0.051	0.03
TBXA2R	P21731	False	TBXA2R_HUMAN		CPI-SS042EB8C7A	0.0	0.006	0.0	0.0	0.01	0.001	0.0
PTGIR	P43119	False	PTGIR_HUMAN		CPI-SS05D406038	0.0	0.042	0.0	0.095	0.034	0.101	0.0
LEAP2	Q969E1	False	LEAP2_HUMAN		CPI-SS02DF51C5C	0.04	0.01	0.0	0.009	0.02	0.005	0.0
TBXA2R	P21731	False	TBXA2R_HUMAN		CPI-SS06D2C0475	0.0	0.006	0.0	0.0	0.01	0.001	0.0
CD7	P09564	False	CD7_HUMAN		CPI-SS0B3A04187	0.0	0.029	0.0	0.009	0.015	0.016	0.398
CHRM3	P20309	False	CHRM3_HUMAN		CPI-SS09392AE55	0.0	0.0	0.0	0.0	0.005	0.0	0.0
DAG1	Q14118	False	DAG1_HUMAN		CPI-SS0A3163194	0.0	0.011	0.138	0.0	0.002	0.023	0.0
TGFBR2	P37173	False	TGFBR2_HUMAN		CPI-SS0EED155F0	0.293	0.23	0.231	0.124	0.099	0.156	0.158
PTDSS1	P48651	False	PTDSS1_HUMAN		CPI-SS07173104C	0.0	0.131	0.053	0.194	0.229	0.126	0.056
GPI	P06744	False	GPI_HUMAN		CPI-SS0F8A4DB6D	0.133	0.269	0.23	0.46	0.457	0.321	0.142
OPRL1	P41146	False	OPRL1_HUMAN		CPI-SS0314D3CCF	0.0	0.024	0.0	0.005	0.009	0.008	0.0
EFEMP2	O95967	False	EFEMP2_HUMAN		CPI-SS074FE4C02	0.0	0.019	0.0	0.0	0.003	0.014	0.0
EFEMP2	O95967	False	EFEMP2_HUMAN		CPI-SS0C8D9821F	0.0	0.019	0.0	0.0	0.003	0.014	0.0
SLPI	P03973	False	SLPI_HUMAN		CPI-SS0C9834B1D	0.0	0.0	0.0	0.026	0.0	0.021	0.0
TPH1	P17752	False	TPH1_HUMAN		CPI-SS00A6E1AB9	0.0	0.0	0.0	0.006	0.007	0.007	0.0
TPH1	P17752	False	TPH1_HUMAN		CPI-SS04F854358	0.0	0.0	0.0	0.006	0.007	0.007	0.0
PECAM1	P16284	False	PECAM1_HUMAN		CPI-SS0E0DEA7D5	0.0	0.208	0.0	0.408	0.107	0.46	0.0
DYSF	O75923	False	DYSF_HUMAN		CPI-SS00D8D246A	0.0	0.0	0.112	0.063	0.006	0.051	0.0
IL2RA	P01589	False	IL2RA_HUMAN		CPI-SS04D1AB4B5	0.044	0.0	0.0	0.005	0.012	0.007	0.0
IL2RA	P01589	False	IL2RA_HUMAN		CPI-SS07D81C1FE	0.044	0.0	0.0	0.005	0.012	0.007	0.0
IL2RB	P14784	False	IL2RB_HUMAN		CPI-SS0205C2780	0.0	0.0	0.0	0.0	0.0	0.002	0.114
IL2RG	P31785	False	IL2RG_HUMAN		CPI-SS0EF8CC32C	0.322	0.393	0.0	0.09	0.191	0.147	0.521
IL6ST	P40189	False	IL6ST_HUMAN		CPI-SS098EB45A0	0.091	0.19	0.119	0.209	0.158	0.206	0.319
IL6ST	P40189	False	IL6ST_HUMAN		CPI-SS01898A278	0.091	0.19	0.119	0.209	0.158	0.206	0.319
PTPN6	P29350	False	PTPN6_HUMAN		CPI-SS05F8AE2D1	0.121	0.648	0.0	0.591	0.325	0.619	0.112
NCR3	O14931	False	NCR3_HUMAN		CPI-SS027AFFC0E	0.163	0.0	0.0	0.0	0.007	0.001	0.074
NCR3	O14931	False	NCR3_HUMAN		CPI-SS02955C9A6	0.163	0.0	0.0	0.0	0.007	0.001	0.074
NCR3	O14931	False	NCR3_HUMAN		CPI-SS0F94547B2	0.163	0.0	0.0	0.0	0.007	0.001	0.074
NCR3	O14931	False	NCR3_HUMAN		CPI-SS00F740E80	0.163	0.0	0.0	0.0	0.007	0.001	0.074
SMO	Q99835	False	SMO_HUMAN		CPI-SS02FC2F9DE	0.0	0.0	0.0	0.0	0.009	0.002	0.0
KLRK1	P26718	False	KLRK1_HUMAN		CPI-SS0215EEB87	0.0	0.009	0.0	0.0	0.007	0.0	0.266
F3	P13726	False	F3_HUMAN		CPI-SS0A81C6702	0.0	0.0	0.0	0.0	0.004	0.008	0.0
KLRK1	P26718	False	KLRK1_HUMAN		CPI-SS057DA7A52	0.0	0.009	0.0	0.0	0.007	0.0	0.266
KLRK1	P26718	False	KLRK1_HUMAN		CPI-SS07B38BA70	0.0	0.009	0.0	0.0	0.007	0.0	0.266
IL12A	P29459	False	IL12A_HUMAN		CPI-SS0B0F18200	0.0	0.0	0.054	0.0	0.023	0.002	0.0
IL12A	P29459	False	IL12A_HUMAN		CPI-SS06B88323E	0.0	0.0	0.054	0.0	0.023	0.002	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0FDCCF145	0.0	0.0	0.0	0.0	0.0	0.002	0.989
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0CB0F5001	0.0	0.0	0.0	0.0	0.0	0.002	0.989
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.0	0.0	0.0	0.0	0.0	0.002	0.989
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.165	0.056	0.139	0.094	0.074	0.09	0.0
IL10	P22301	False	IL10_HUMAN		CPI-SS04DB1A67D	0.0	0.0	0.0	0.007	0.004	0.007	0.0
IL10RB	Q08334	False	IL10RB_HUMAN		CPI-SS0B81DFF66	0.037	0.12	0.053	0.298	0.043	0.217	0.0
IL10	P22301	False	IL10_HUMAN		CPI-SS0FC978E30	0.0	0.0	0.0	0.007	0.004	0.007	0.0
IL10	P22301	False	IL10_HUMAN		CPI-SS00F4BAA12	0.0	0.0	0.0	0.007	0.004	0.007	0.0
IL10RB	Q08334	False	IL10RB_HUMAN		CPI-SS0B36B7830	0.037	0.12	0.053	0.298	0.043	0.217	0.0
RYR1	P21817	False	RYR1_HUMAN		CPI-SS0D0EEF076	0.0	0.024	0.0	0.005	0.0	0.001	0.0
HDC	P19113	False	HDC_HUMAN		CPI-SS02BC79A7E	0.0	0.0	0.0	0.0	0.007	0.0	0.0
GFRA2	O00451	False	GFRA2_HUMAN		CPI-SS0BE7FA2B5	0.0	0.039	0.0	0.0	0.0	0.001	0.0
CD55	P08174	False	CD55_HUMAN		CPI-SS061A7E099	0.672	0.407	0.389	0.558	0.288	0.589	0.372
CD55	P08174	False	CD55_HUMAN		CPI-SS0AC7CC959	0.672	0.407	0.389	0.558	0.288	0.589	0.372
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.592	0.454	0.089	0.437	0.248	0.385	0.361
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.271	0.603	0.0	1.175	0.327	1.717	0.34
JAML	Q86YT9	False	JAML_HUMAN		CPI-SS0BB8D2F19	0.0	0.666	0.0	0.387	0.001	0.388	0.0
SCGB3A1	Q96QR1	False	SCGB3A1_HUMAN		CPI-SS0DF5E47DB	0.0	0.007	0.0	0.018	0.01	0.005	0.0
NEO1	Q92859	False	NEO1_HUMAN		CPI-SS071DA8AF5	0.0	0.018	0.055	0.006	0.009	0.002	0.0
SMAD3	P84022	False	SMAD3_HUMAN		CPI-SS05A1B2FD3	0.027	0.134	0.091	0.146	0.061	0.199	0.119
PGRMC1	O00264	False	PGRMC1_HUMAN		CPI-SS0579A6472	0.027	0.095	0.0	0.195	0.186	0.129	0.057
PIK3CD	O00329	False	PIK3CD_HUMAN		CPI-SS0DEE82C61	0.0	0.056	0.0	0.068	0.043	0.061	0.049
CCR10	P46092	False	CCR10_HUMAN		CPI-SS0B937681C	0.0	0.014	0.0	0.007	0.002	0.007	0.0
CCR10	P46092	False	CCR10_HUMAN		CPI-SS018FD7A77	0.0	0.014	0.0	0.007	0.002	0.007	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS06AEE6C79	0.0	0.0	0.0	0.004	0.0	0.003	0.0
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07383766F	0.043	0.0	0.0	0.0	0.0	0.0	0.0
IGSF10	Q6WRI0	False	IGSF10_HUMAN		CPI-SS04D270110	0.0	0.057	0.0	0.031	0.13	0.017	0.0
DSC2	Q02487	False	DSC2_HUMAN		CPI-SS06D13FCD3	0.0	0.0	0.0	0.018	0.12	0.029	0.06
TNFSF4	P23510	False	TNFSF4_HUMAN		CPI-SS04456F441	0.0	0.0	0.0	0.007	0.015	0.002	0.0
ADGRB1	O14514	False	ADGRB1_HUMAN		CPI-SS010387F5D	0.026	0.0	0.0	0.014	0.008	0.005	0.0
ADGRB1	O14514	False	ADGRB1_HUMAN		CPI-SS018A2D6DF	0.026	0.0	0.0	0.014	0.008	0.005	0.0
OMG	P23515	False	OMG_HUMAN		CPI-SS009283C77	0.0	0.032	0.0	0.009	0.005	0.008	0.0
GPR171	O14626	False	GPR171_HUMAN		CPI-SS03F92AD34	0.0	0.0	0.0	0.0	0.005	0.0	0.162
TRAF2	Q12933	False	TRAF2_HUMAN		CPI-SS0918D7FE5	0.0	0.033	0.054	0.024	0.04	0.013	0.0
CEP290	O15078	False	CEP290_HUMAN		CPI-SS0BA2082C1	0.125	0.051	0.168	0.088	0.198	0.035	0.118
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS0E94B7BDB	0.067	0.021	0.0	0.019	0.04	0.011	0.0
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS0DDE47758	0.067	0.021	0.0	0.019	0.04	0.011	0.0
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS00D264675	0.067	0.021	0.0	0.019	0.04	0.011	0.0
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS030ADB296	0.067	0.021	0.0	0.019	0.04	0.011	0.0
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS0C4FA2746	0.067	0.021	0.0	0.019	0.04	0.011	0.0
TCTN1	Q2MV58	False	TCTN1_HUMAN		CPI-SS07A6FB783	0.067	0.021	0.0	0.019	0.04	0.011	0.0
MPZL2	O60487	False	MPZL2_HUMAN		CPI-SS0401A8708	0.0	0.01	0.0	0.007	0.0	0.001	0.0
MPZL2	O60487	False	MPZL2_HUMAN		CPI-SS01DAD80BF	0.0	0.01	0.0	0.007	0.0	0.001	0.0
LRRN2	O75325	False	LRRN2_HUMAN		CPI-SS0B6EE9967	0.0	0.0	0.123	0.0	0.004	0.001	0.0
PRSS23	O95084	False	PRSS23_HUMAN		CPI-SS0E02BDF99	0.0	0.0	0.0	0.0	0.0	0.0	0.066
LY86	O95711	False	LY86_HUMAN		CPI-SS058EEE861	0.177	0.958	0.0	0.857	0.012	0.781	0.0
CP	P00450	False	CP_HUMAN		CPI-SS03D12FEFF	0.0	0.0	0.0	0.0	0.063	0.001	0.0
ATP5F1B	P06576	False	ATP5F1B_HUMAN		CPI-SS0737C4A81	0.37	0.811	0.999	0.625	0.853	0.516	0.307
MANSC1	Q9H8J5	False	MANSC1_HUMAN		CPI-SS006077406	0.0	0.0	0.119	0.005	0.014	0.01	0.0
ALOX5	P09917	False	ALOX5_HUMAN		CPI-SS080611C5B	0.102	0.067	0.0	0.151	0.012	0.168	0.0
ALOX5	P09917	False	ALOX5_HUMAN		CPI-SS0D1E613E7	0.102	0.067	0.0	0.151	0.012	0.168	0.0
AR	P10275	False	AR_HUMAN		CPI-SS0E2E85FA9	0.0	0.118	0.0	0.059	0.052	0.023	0.0
FCER1A	P12319	False	FCER1A_HUMAN		CPI-SS0CD4A73D7	0.0	0.849	0.0	0.189	0.058	0.041	0.0
IL7R	P16871	False	IL7R_HUMAN		CPI-SS0911C5E30	0.0	0.0	0.0	0.0	0.0	0.001	0.841
PTPRA	P18433	False	PTPRA_HUMAN		CPI-SS0598CB27C	0.144	0.315	0.565	0.337	0.335	0.242	0.247
RXRA	P19793	False	RXRA_HUMAN		CPI-SS0BCCD2FAD	0.0	0.116	0.514	0.268	0.021	0.358	0.0
RXRA	P19793	False	RXRA_HUMAN		CPI-SS01D9082D1	0.0	0.116	0.514	0.268	0.021	0.358	0.0
C5AR1	P21730	False	C5AR1_HUMAN		CPI-SS01946BE5C	0.033	0.015	0.0	0.187	0.02	0.627	0.175
TNFRSF8	P28908	False	TNFRSF8_HUMAN		CPI-SS0412C803A	0.0	0.0	0.0	0.0	0.002	0.004	0.0
LTK	P29376	False	LTK_HUMAN		CPI-SS0F8274C59	0.0	0.0	0.0	0.0	0.0	0.001	0.0
CD40LG	P29965	False	CD40LG_HUMAN		CPI-SS0C54A11C3	0.0	0.0	0.0	0.0	0.0	0.0	0.105
BSG	P35613	False	BSG_HUMAN		CPI-SS02A152DAC	0.231	0.271	1.722	0.386	0.492	0.366	0.182
FLT3	P36888	False	FLT3_HUMAN		CPI-SS076FEB261	0.0	0.762	0.0	0.649	0.26	0.41	0.0
TXLNA	P40222	False	TXLNA_HUMAN		CPI-SS032593508	0.091	0.085	0.0	0.079	0.111	0.063	0.0
TXLNA	P40222	False	TXLNA_HUMAN		CPI-SS0B8C1B9DC	0.091	0.085	0.0	0.079	0.111	0.063	0.0
TXLNA	P40222	False	TXLNA_HUMAN		CPI-SS05E3A768E	0.091	0.085	0.0	0.079	0.111	0.063	0.0
LMAN1	P49257	False	LMAN1_HUMAN		CPI-SS083767C88	0.19	0.202	0.282	0.238	0.529	0.162	0.201
CAMP	P49913	False	CAMP_HUMAN		CPI-SS0711347C5	0.03	0.011	0.0	0.01	0.0	0.021	0.0
F2RL1	P55085	False	F2RL1_HUMAN		CPI-SS0740685E1	0.0	0.0	0.0	0.0	0.012	0.001	0.0
LILRA4	P59901	False	LILRA4_HUMAN		CPI-SS095DCA7F7	0.1	0.033	0.0	0.0	0.0	0.0	0.0
RACK1	P63244	False	RACK1_HUMAN		CPI-SS097B948A0	3.077	3.124	1.895	2.872	3.483	2.811	2.733
NUCB2	P80303	False	NUCB2_HUMAN		CPI-SS0E0415BE3	0.102	0.334	0.682	0.588	1.504	0.402	0.577
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS0F1A9F338	0.0	0.0	0.0	0.0	0.007	0.0	0.0
LGALS3BP	Q08380	False	LGALS3BP_HUMAN		CPI-SS0680DACAB	0.0	0.0	0.0	0.006	0.085	0.021	0.0
FSTL1	Q12841	False	FSTL1_HUMAN		CPI-SS0753CA1C0	0.0	0.0	0.0	0.005	0.012	0.0	0.0
IL16	Q14005	False	IL16_HUMAN		CPI-SS0893BD6B6	0.272	0.13	0.0	0.045	0.024	0.048	0.0
IL16	Q14005	False	IL16_HUMAN		CPI-SS0DA1043E8	0.272	0.13	0.0	0.045	0.024	0.048	0.0
EBI3	Q14213	False	EBI3_HUMAN		CPI-SS03F51D0C9	0.0	0.0	0.0	0.004	0.0	0.002	0.0
SELPLG	Q14242	False	SELPLG_HUMAN		CPI-SS0491E52D4	0.035	0.188	0.0	0.271	0.089	0.203	0.049
LY6G5C	Q5SRR4	False	LY6G5C_HUMAN		CPI-SS016B3B1EF	0.0	0.01	0.0	0.018	0.017	0.009	0.0
NCR3LG1	Q68D85	False	NCR3LG1_HUMAN		CPI-SS05F915C20	0.0	0.0	0.0	0.025	0.01	0.015	0.0
VSTM1	Q6UX27	False	VSTM1_HUMAN		CPI-SS033E857EB	0.0	0.0	0.0	0.043	0.004	0.052	0.0
IL17RC	Q8NAC3	False	IL17RC_HUMAN		CPI-SS09AC4A1E7	0.0	0.0	0.0	0.021	0.041	0.024	0.0
CADM4	Q8NFZ8	False	CADM4_HUMAN		CPI-SS03072AF34	0.0	0.0	0.0	0.0	0.0	0.001	0.058
CLEC2B	Q92478	False	CLEC2B_HUMAN		CPI-SS025C8F785	0.2	1.34	0.253	1.092	0.939	1.055	1.156
LRRC4	Q9HBW1	False	LRRC4_HUMAN		CPI-SS0D5A3C303	0.0	0.0	0.0	0.013	0.007	0.012	0.0
PLSCR4	Q9NRQ2	False	PLSCR4_HUMAN		CPI-SS0A2492092	0.0	0.0	0.116	0.002	0.012	0.001	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS0B5E172D4	0.0	0.087	0.0	0.155	0.018	0.186	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS08FF78F4C	0.0	0.087	0.0	0.155	0.018	0.186	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS0B071ED24	0.0	0.087	0.0	0.155	0.018	0.186	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS0AEA3C14B	0.0	0.087	0.0	0.155	0.018	0.186	0.0
SIRPA	P78324	False	SIRPA_HUMAN		CPI-SS068C129D6	0.0	0.087	0.0	0.155	0.018	0.186	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS03A447CA2	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS062878498	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0BBCAED13	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0C5FB41E8	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0C6448B94	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0C25DA9FF	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS0BA0457D3	0.0	0.009	0.0	0.027	0.0	0.036	0.064
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS08BC9FF17	0.0	0.009	0.0	0.027	0.0	0.036	0.064
TSHR	P16473	False	TSHR_HUMAN		CPI-SS04D87448A	0.0	0.0	0.0	0.006	0.006	0.002	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS012FD886E	0.0	0.0	0.0	0.006	0.006	0.002	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS010DF4808	0.0	0.0	0.0	0.006	0.006	0.002	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.0	0.006	0.006	0.002	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0C6FEEA14	0.0	0.0	0.0	0.006	0.006	0.002	0.0
TSHR	P16473	False	TSHR_HUMAN		CPI-SS0E2696443	0.0	0.0	0.0	0.006	0.006	0.002	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS032869B21	0.0	0.0	0.0	0.0	0.0	0.009	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS00D55E7F1	0.0	0.0	0.0	0.0	0.0	0.009	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.0	0.0	0.0	0.009	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS0EC70F078	0.0	0.0	0.0	0.0	0.0	0.009	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS09F6EBE93	0.0	0.0	0.0	0.0	0.0	0.009	0.0
VIPR1	P32241	False	VIPR1_HUMAN		CPI-SS09EF65834	0.0	0.0	0.0	0.0	0.0	0.009	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS03F2D0912	0.0	0.031	0.0	0.009	0.0	0.022	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS0921F19C4	0.0	0.031	0.0	0.009	0.0	0.022	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS0527B9DF1	0.0	0.031	0.0	0.009	0.0	0.022	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS06B1428D4	0.0	0.031	0.0	0.009	0.0	0.022	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS07297A3AD	0.0	0.031	0.0	0.009	0.0	0.022	0.0
GPR84	Q9NQS5	False	GPR84_HUMAN		CPI-SS055FC8123	0.0	0.031	0.0	0.009	0.0	0.022	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0422FB94A	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS096DDDCBC	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0BCB0DBB3	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0E176DAD6	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0206FC5C4	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.0	0.0	0.005	0.0	0.0
ADRA2A	P08913	False	ADRA2A_HUMAN		CPI-SS0833E9829	0.0	0.0	0.0	0.0	0.005	0.0	0.0
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0AA82A168	0.0	0.0	0.0	0.0	0.0	0.001	0.056
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.001	0.056
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0BF944C6D	0.0	0.0	0.0	0.0	0.0	0.001	0.056
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS05E6C34AB	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS09A4576D9	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS0122128E0	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS086F43A39	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS0187EE42A	0.0	0.0	0.0	0.0	0.007	0.0	0.0
CAV1	Q03135	False	CAV1_HUMAN		CPI-SS07D0E29D8	0.0	0.0	0.0	0.0	0.007	0.0	0.0
